Disease,Bat,Brain,Epi,Heart,Kidney,Liver,Lung,SKM,Spleen,SubQ
Medulloblastoma with extensive nodularity,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Aberrant Crypt Foci,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Multiple Acyl Coenzyme A Dehydrogenase Deficiency,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Glutaric Aciduria IIA,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Glutaric Aciduria IIB,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Glutaric Aciduria IIC,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
GLUTARIC ACIDEMIA IIA,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
GLUTARIC ACIDEMIA IIB,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
GLUTARIC ACIDEMIA IIC,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE AND FRONTOTEMPORAL DEMENTIA,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Hemangioma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Histiocytoid hemangioma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
"Hemangioma, Intramuscular",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Chorioangioma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Angioma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Coronary Artery Vasospasm,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Neurofibrosarcoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.78E-01
Adult Hepatocellular Carcinoma,1.00E+00,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Gastric Adenocarcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,5.80E-01
Vestibular Diseases,1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.31E-01,1.00E+00
Bladder Neoplasm,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Lethargy,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Endogenous depression,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Male Germ Cell Tumor,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Lymphoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Cecal Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Malignant neoplasm of cecum,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Acute Erythroblastic Leukemia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Celiac Disease,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Subcortical Band Heterotopia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
HMN (Hereditary Motor Neuropathy) Proximal Type I,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Juvenile Spinal Muscular Atrophy,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
"Muscular Atrophy, Spinal, Type II",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
"Muscular atrophy, spinal, infantile chronic form",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.08E-01,1.00E+00
Colorectal Cancer,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.09E-01,1.00E+00,1.00E+00,1.00E+00
Malignant neoplasm of urinary bladder,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.10E-01,1.00E+00
Malignant neoplasm of ovary,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.10E-01,1.00E+00
Mental Depression,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Spastic Paraplegia, Hereditary",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Substance abuse problem,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Arterial Fatty Streak,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Atheroma,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Fibroatheroma,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Pregnancy Complications,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Unsteady",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Spastic gait,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Shuffling",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Athetotic",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Charcot Gait,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Festinating",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Cerebellar ataxic gait,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Hemiplegic",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Scissors",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Waddling gait,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Rigid",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Broadened",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Stumbling",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Rapid Fatigue of Gait,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Drop Foot",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Marche a Petit Pas,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Hysterical",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait Disorder, Sensorimotor",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait Disorders, Neurologic",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Frontal",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Gait, Widebased",1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Cafe-au-lait macules with pulmonary stenosis,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
PITT-HOPKINS SYNDROME,1.00E+00,6.31E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Alopecia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.34E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Pseudopelade,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.34E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Androgenetic Alopecia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.34E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Female pattern alopecia (disorder),1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.34E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Alopecia, Male Pattern",1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.34E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Dyschondroplasias,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.34E-01,1.00E+00,1.00E+00
Squamous cell carcinoma of mouth,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.80E-01,8.66E-01,1.00E+00,1.00E+00,1.00E+00
Squamous cell carcinoma of the head and neck,1.00E+00,1.00E+00,1.00E+00,6.49E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Sezary Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.50E-01,1.00E+00,1.00E+00,1.00E+00
Fanconi Syndrome,1.00E+00,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
Adult Fanconi syndrome,1.00E+00,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
De Toni-Debre-Fanconi Syndrome,1.00E+00,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
Fanconi-Bickel Syndrome,1.00E+00,1.00E+00,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
cervical cancer,1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Diabetes Mellitus, Insulin-Dependent",1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Diabetes, Autoimmune",1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Brittle diabetes,1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Diabetes Mellitus, Ketosis-Prone",1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Obstructive asymmetric septal hypertrophy,1.00E+00,1.00E+00,1.00E+00,6.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Glioblastoma Multiforme,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.63E-01,1.00E+00
Cooley's anemia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.64E-01,1.00E+00
beta Thalassemia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.64E-01,1.00E+00
Thalassemia Minor,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.64E-01,1.00E+00
Thalassemia Intermedia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.64E-01,1.00E+00
Carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.68E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Anaplastic carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.68E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Carcinoma, Spindle-Cell",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.68E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Undifferentiated carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.68E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Carcinomatosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.68E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Hyperbilirubinemia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.72E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Diabetes Mellitus, Non-Insulin-Dependent",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.72E-01,1.00E+00,1.00E+00
Hepatocellular Adenoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Nongerminomatous Germ Cell Tumor,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
"MYOPATHY, CONGENITAL, WITH EXCESS OF MUSCLE SPINDLES",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Lupus Nephritis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
"NEVUS, EPIDERMAL (disorder)",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
"Nevus, Keratinocytic, Nonepidermolytic",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
HELLP Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Penile Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Malignant neoplasm of penis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Coronary Stenosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Herlitz Disease,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,6.77E-01,1.00E+00,1.00E+00,1.00E+00
Uterine Cervical Neoplasm,1.00E+00,1.00E+00,1.00E+00,6.83E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Malignant mesothelioma,1.00E+00,1.00E+00,1.00E+00,6.90E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Williams Syndrome,1.00E+00,1.00E+00,9.38E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.74E-01
Peroxisomal Disorders,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Acute Myeloid Leukemia, M1",1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Acute Myeloid Leukemia (AML-M2),1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Hyperglycinemia, Nonketotic, Type I",1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Hyperglycinemia, Nonketotic, Type II",1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Hyperglycinemia, Nonketotic, Type III",1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Nonketotic Hyperglycinemia,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"EPIDERMOLYSIS BULLOSA SIMPLEX, AUTOSOMAL RECESSIVE (disorder)",1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Keratoconus,1.00E+00,1.00E+00,7.18E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Keratosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Keratosis Blennorrhagica,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Keratoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Autosomal Recessive Primary Microcephaly,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Periventricular Nodular Heterotopia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.19E-01,1.00E+00
Diabetic Nephropathy,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.77E-01,1.00E+00,7.47E-01
Nodular glomerulosclerosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.77E-01,1.00E+00,7.47E-01
MYELODYSPLASTIC SYNDROME,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.26E-01,1.00E+00
Neoplasm of uncertain or unknown behavior of ovary,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.80E-01,9.60E-01,1.00E+00,1.00E+00,1.00E+00
Autistic Disorder,1.00E+00,1.00E+00,1.00E+00,7.43E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Ewings sarcoma,1.00E+00,1.00E+00,7.53E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Malignant tumor of colon,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
Albuminuria,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
"Bare Lymphocyte Syndrome, Type I",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
Juvenile polyposis syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
Tuberculosis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
Wallerian Degeneration,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.56E-01
Primary microcephaly,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.65E-01,1.00E+00,9.94E-01,1.00E+00
"Cerebral Palsy, Spastic Quadriplegic, 1",1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Malnutrition,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Polycystic Kidney, Autosomal Dominant",1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.61E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Hematologic Neoplasms,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.63E-01,1.00E+00
Proteinuria,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.66E-01,9.77E-01,1.00E+00,9.23E-01
Dyslipidemias,1.00E+00,1.00E+00,1.00E+00,8.11E-01,1.00E+00,1.00E+00,9.60E-01,1.00E+00,1.00E+00,1.00E+00
Dyslipoproteinemias,1.00E+00,1.00E+00,1.00E+00,8.11E-01,1.00E+00,1.00E+00,9.60E-01,1.00E+00,1.00E+00,1.00E+00
Progeria,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.80E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Turcot syndrome (disorder),1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.80E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
AMYOTROPHIC LATERAL SCLEROSIS 1,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.80E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Amyotrophic Lateral Sclerosis, Sporadic",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.80E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Shared Paranoid Disorder,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,7.80E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00
liposarcoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,1.00E+00,8.28E-01,1.00E+00
"Affective Disorders, Psychotic",1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,1.00E+00,8.28E-01,1.00E+00
Tumor of Rete Testis,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,1.00E+00,8.28E-01,1.00E+00
melanoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.66E-01,1.00E+00,9.37E-01,1.00E+00
Motor Neuron Disease,1.00E+00,9.04E-01,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Anterior Horn Cell Disease,1.00E+00,9.04E-01,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Familial Motor Neuron Disease,1.00E+00,9.04E-01,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Motor Neuron Disease, Lower",1.00E+00,9.04E-01,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Motor Neuron Disease, Upper",1.00E+00,9.04E-01,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
"Motor Neuron Disease, Secondary",1.00E+00,9.04E-01,9.02E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
Ehlers-Danlos Syndrome,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.08E-01,1.00E+00,1.00E+00
Colon Carcinoma,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,1.00E+00,1.00E+00,8.61E-01
Choanal Atresia,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.60E-01,1.00E+00,1.00E+00,8.61E-01
"Radiation Injuries, Experimental",1.00E+00,9.21E-01,1.00E+00,1.00E+00,1.00E+00,1.00E+00,9.04E-01,1.00E+00,1.00E+00,1.00E+00
Large cell carcinoma of lung,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,8.28E-01,1.00E+00
